Experiment 1,9:09:00
Experiment 2,11:46:22
Experiment 3,14:52:00
Experiment 4,9:09:19
Experiment 5,11:48:00
Experiment 6,14:52:02
Experiment 7,9:04:11
Experiment 8,11:18:00
Experiment 9,14:21:00
Experiment 10,8:50:06
Experiment 11,11:18:00
Experiment 12,14:12:00
Experiment 13,8:51:00
Experiment 14,11:21:02
Experiment 15,14:43:01
Experiment 16,8:33:02
Experiment 17,11:10:05
Experiment 18,14:08:02
