Time, HF1, HF2, TC1
06/30/16_08:35:49, 0.000000, 0.000000, 23.704792
06/30/16_08:35:50, 0.000000, 0.000000, 22.727275
06/30/16_08:35:51, 0.000000, 0.000000, 23.704792
06/30/16_08:35:53, 0.000000, 0.000000, 23.704792
06/30/16_08:35:54, 0.000000, 0.000000, 24.682308
06/30/16_08:35:56, 0.000000, 0.000000, 23.704792
06/30/16_08:35:57, 0.000000, 0.000000, 23.704792
06/30/16_08:35:59, 0.000000, 0.000000, 23.704792
06/30/16_08:36:00, 0.000000, 0.000000, 23.704792
06/30/16_08:36:02, 0.000000, 0.000000, 23.704792
06/30/16_08:36:03, 0.000000, 0.000000, 23.704792
06/30/16_08:36:05, 0.000000, 0.000000, 22.727275
06/30/16_08:36:06, 0.000000, 0.000000, 23.704792
06/30/16_08:36:08, 0.000000, 0.000000, 23.704792
06/30/16_08:36:09, 0.000000, 0.000000, 23.704792
06/30/16_08:36:11, 0.000000, 0.000000, 23.704792
06/30/16_08:36:12, 0.000000, 0.000000, 22.727275
06/30/16_08:36:14, 0.000000, 0.000000, 23.704792
06/30/16_08:36:15, 0.000000, 0.000000, 23.704792
06/30/16_08:36:17, 0.000000, 0.000000, 23.704792
06/30/16_08:36:18, 0.000000, 0.000000, 23.704792
06/30/16_08:36:20, 0.000000, 0.000000, 24.682308
06/30/16_08:36:21, 0.000000, 0.000000, 23.704792
06/30/16_08:36:23, 0.000000, 0.000000, 23.704792
06/30/16_08:36:24, 0.000000, 0.000000, 24.682308
06/30/16_08:36:26, 0.000000, 0.000000, 23.704792
06/30/16_08:36:27, 0.000000, 0.000000, 23.704792
06/30/16_08:36:29, 0.000000, 0.000000, 23.704792
06/30/16_08:36:30, 0.000000, 0.000000, 23.704792
06/30/16_08:36:32, 0.000000, 0.000000, 23.704792
06/30/16_08:36:34, 0.000000, 0.000000, 23.704792
06/30/16_08:36:35, 0.000000, 0.000000, 23.704792
06/30/16_08:36:37, 0.000000, 0.000000, 22.727275
06/30/16_08:36:38, 0.000000, 0.000000, 22.727275
06/30/16_08:36:40, 0.000000, 0.000000, 24.682308
06/30/16_08:36:41, 0.000000, 0.000000, 24.682308
06/30/16_08:36:42, 0.000000, 0.000000, 24.682308
06/30/16_08:36:44, 0.000000, 0.000000, 23.704792
06/30/16_08:36:45, 0.000000, 0.000000, 24.682308
06/30/16_08:36:47, 0.000000, 0.000000, 23.704792
06/30/16_08:36:48, 0.000000, 0.000000, 24.682308
06/30/16_08:36:50, 0.000000, 0.000000, 24.682308
06/30/16_08:36:51, 0.000000, 0.000000, 24.682308
06/30/16_08:36:53, 0.000000, 0.000000, 24.682308
06/30/16_08:36:54, 0.000000, 0.000000, 23.704792
06/30/16_08:36:56, 0.000000, 0.000000, 23.704792
06/30/16_08:36:57, 0.000000, 0.000000, 23.704792
06/30/16_08:36:59, 0.000000, 0.000000, 24.682308
06/30/16_08:37:00, 0.000000, 0.000000, 23.704792
06/30/16_08:37:02, 0.000000, 0.000000, 24.682308
06/30/16_08:37:03, 0.000000, 0.000000, 24.682308
06/30/16_08:37:05, 0.000000, 0.000000, 24.682308
06/30/16_08:37:06, 0.000188, 0.000000, 24.682308
06/30/16_08:37:08, 0.000000, 0.000000, 24.682308
06/30/16_08:37:09, 0.000000, 0.000000, 24.682308
06/30/16_08:37:11, 0.000000, 0.000000, 24.682308
06/30/16_08:37:12, 0.000000, 0.000000, 24.682308
06/30/16_08:37:14, 0.000000, 0.000000, 24.682308
06/30/16_08:37:15, 0.000000, 0.000000, 24.682308
06/30/16_08:37:17, 0.000000, 0.000000, 24.682308
06/30/16_08:37:18, 0.000000, 0.000000, 23.704792
06/30/16_08:37:20, 0.000000, 0.000000, 23.704792
06/30/16_08:37:21, 0.000000, 0.000000, 23.704792
06/30/16_08:37:23, 0.000000, 0.000000, 22.727275
06/30/16_08:37:24, 0.000000, 0.000000, 21.749759
06/30/16_08:37:26, 0.000188, 0.000000, 20.772243
06/30/16_08:37:27, 0.000188, 0.000000, 22.727275
06/30/16_08:37:29, 0.000188, 0.000000, 20.772243
06/30/16_08:37:30, 0.000000, 0.000000, 22.727275
06/30/16_08:37:32, 0.000188, 0.000000, 20.772243
06/30/16_08:37:33, 0.000000, 0.000000, 22.727275
06/30/16_08:37:35, 0.000000, 0.000000, 22.727275
06/30/16_08:37:36, 0.000000, 0.000000, 22.727275
06/30/16_08:37:38, 0.000188, 0.000000, 22.727275
06/30/16_08:37:39, 0.000000, 0.000000, 22.727275
