Time, HF1, HF2, TC1, TC2
06/25/16_14:31:32, 0.000000, 0.000188, 23.704792
06/25/16_14:31:34, 0.000000, 0.000000, 23.704792
06/25/16_14:31:35, 0.000000, 0.000000, 23.704792
06/25/16_14:31:37, 0.000000, 0.000000, 24.682308
06/25/16_14:31:38, 0.000188, 0.000000, 23.704792
06/25/16_14:31:40, 0.000000, 0.000000, 24.682308
06/25/16_14:31:41, 0.000000, 0.000188, 24.682308
06/25/16_14:31:43, 0.000000, 0.000000, 23.704792
06/25/16_14:31:44, 0.000000, 0.000000, 23.704792
06/25/16_14:31:46, 0.000000, 0.000000, 23.704792
06/25/16_14:31:47, 0.000000, 0.000188, 24.682308
06/25/16_14:31:49, 0.000000, 0.000000, 23.704792
06/25/16_14:31:50, 0.000000, 0.000188, 23.704792
06/25/16_14:31:52, 0.000000, 0.000000, 23.704792
06/25/16_14:31:54, 0.000000, 0.000188, 24.682308
06/25/16_14:31:55, 0.000000, 0.000188, 23.704792
06/25/16_14:31:57, 0.000000, 0.000000, 22.727275
06/25/16_14:31:58, 0.000000, 0.000000, 23.704792
06/25/16_14:32:00, 0.000000, 0.000188, 23.704792
06/25/16_14:32:01, 0.000000, 0.000000, 23.704792
06/25/16_14:32:03, 0.000000, 0.000188, 24.682308
06/25/16_14:32:05, 0.000000, 0.000000, 23.704792
06/25/16_14:32:06, 0.000000, 0.000000, 23.704792
06/25/16_14:32:08, 0.000000, 0.000000, 22.727275
06/25/16_14:32:09, 0.000000, 0.000000, 23.704792
06/25/16_14:32:11, 0.000000, 0.000000, 23.704792
06/25/16_14:32:12, 0.000000, 0.000188, 23.704792
06/25/16_14:32:14, 0.000000, 0.000188, 21.749759
06/25/16_14:32:16, 0.000000, 0.000188, 24.682308
06/25/16_14:32:17, 0.000000, 0.000188, 23.704792
06/25/16_14:32:19, 0.000000, 0.000188, 23.704792
06/25/16_14:32:20, 0.000000, 0.000000, 23.704792
06/25/16_14:32:22, 0.000000, 0.000000, 23.704792
06/25/16_14:32:23, 0.000000, 0.000000, 23.704792
06/25/16_14:32:25, 0.000188, 0.000188, 23.704792
06/25/16_14:32:26, 0.000000, 0.000000, 23.704792
06/25/16_14:32:28, 0.000188, 0.000000, 23.704792
06/25/16_14:32:29, 0.000188, 0.000000, 23.704792
06/25/16_14:32:31, 0.000000, 0.000188, 22.727275
06/25/16_14:32:32, 0.000188, 0.001875, 24.682308
06/25/16_14:32:34, 0.000188, 0.001875, 23.704792
06/25/16_14:32:35, 0.000188, 0.000937, 23.704792
06/25/16_14:32:37, 0.000188, 0.000188, 23.704792
06/25/16_14:32:38, 0.002813, -0.002062, 23.704792
06/25/16_14:32:40, 0.000000, 0.000188, 23.704792
06/25/16_14:32:42, 0.000000, 0.000000, 25.659824
06/25/16_14:32:43, 0.000000, 0.000188, 23.704792
06/25/16_14:32:44, 0.000000, 0.000188, 23.704792
06/25/16_14:32:46, 0.000562, 0.000188, 23.704792
06/25/16_14:32:48, 0.000375, 0.000375, 23.704792
06/25/16_14:32:49, 0.000375, 0.000375, 23.704792
06/25/16_14:32:51, 0.000188, 0.000562, 24.682308
06/25/16_14:32:53, 0.000188, 0.000375, 23.704792
06/25/16_14:32:54, 0.000188, 0.000375, 24.682308
06/25/16_14:32:56, 0.000562, 0.000188, 22.727275
06/25/16_14:32:57, 0.000562, 0.000188, 23.704792
06/25/16_14:32:59, 0.000562, 0.000188, 22.727275
06/25/16_14:33:00, 0.000562, 0.000188, 24.682308
06/25/16_14:33:02, 0.000562, 0.000375, 24.682308
06/25/16_14:33:03, 0.000562, 0.000188, 23.704792
06/25/16_14:33:05, 0.000562, 0.000375, 24.682308
06/25/16_14:33:06, 0.000375, 0.000188, 23.704792
06/25/16_14:33:08, 0.000375, 0.000375, 24.682308
06/25/16_14:33:10, 0.000375, 0.000375, 24.682308
06/25/16_14:33:11, 0.000375, 0.000188, 24.682308
06/25/16_14:33:13, 0.000188, 0.000188, 24.682308
06/25/16_14:33:14, 0.000188, 0.000188, 24.682308
06/25/16_14:33:16, 0.000188, 0.000188, 24.682308
06/25/16_14:33:17, 0.000188, 0.000188, 24.682308
06/25/16_14:33:19, 0.000188, 0.000188, 24.682308
06/25/16_14:33:21, 0.000188, 0.000188, 24.682308
06/25/16_14:33:22, 0.000188, 0.000188, 24.682308
06/25/16_14:33:24, 0.000188, 0.000188, 22.727275
06/25/16_14:33:25, 0.000188, 0.000188, 24.682308
06/25/16_14:33:27, 0.000000, 0.000375, 24.682308
06/25/16_14:33:28, 0.000188, 0.000188, 24.682308
06/25/16_14:33:30, 0.000188, 0.000375, 24.682308
06/25/16_14:33:32, 0.000188, 0.000188, 24.682308
06/25/16_14:33:33, 0.000188, 0.000188, 23.704792
06/25/16_14:33:35, 0.000188, 0.000188, 24.682308
06/25/16_14:33:36, 0.000188, 0.000188, 24.682308
06/25/16_14:33:38, 0.000188, 0.000188, 24.682308
06/25/16_14:33:39, 0.000188, 0.000188, 24.682308
06/25/16_14:33:41, 0.000188, 0.000188, 24.682308
06/25/16_14:33:42, 0.000188, 0.000188, 24.682308
06/25/16_14:33:44, 0.000188, 0.000188, 24.682308
06/25/16_14:33:45, 0.000188, 0.000188, 24.682308
