Time, HF1, HF2, TC1
06/28/16_14:29:19, 0.000000, 0.000000, 25.659824
06/28/16_14:29:20, 0.000000, 0.000000, 26.637340
06/30/16_11:13:07, 0.000000, 0.000000, 25.659824
06/30/16_11:13:09, 0.000000, 0.000188, 25.659824
06/30/16_11:13:10, 0.000000, 0.000188, 24.682308
06/30/16_11:13:12, 0.000000, 0.000188, 23.704792
06/30/16_11:13:13, 0.000000, 0.000188, 23.704792
06/30/16_11:13:15, 0.000000, 0.000000, 24.682308
06/30/16_11:13:16, 0.000000, 0.000000, 24.682308
06/30/16_11:13:18, 0.000000, 0.000000, 24.682308
06/30/16_11:13:19, 0.000000, 0.000000, 24.682308
06/30/16_11:13:21, 0.000000, 0.000000, 24.682308
06/30/16_11:13:22, 0.000000, 0.000000, 25.659824
06/30/16_11:13:24, 0.000000, 0.000000, 23.704792
06/30/16_11:13:25, 0.000000, 0.000000, 25.659824
06/30/16_11:13:27, 0.000000, 0.000000, 24.682308
06/30/16_11:13:28, 0.000000, 0.000000, 24.682308
06/30/16_11:13:30, 0.000000, 0.000000, 24.682308
06/30/16_11:13:31, 0.000000, 0.000000, 24.682308
06/30/16_11:13:33, 0.000000, 0.000000, 23.704792
06/30/16_11:13:34, 0.000000, 0.000000, 24.682308
06/30/16_11:13:35, 0.000000, 0.000000, 24.682308
06/30/16_11:13:37, 0.000000, 0.000000, 23.704792
06/30/16_11:13:39, 0.000000, 0.000000, 24.682308
06/30/16_11:13:40, 0.000000, 0.000000, 24.682308
06/30/16_11:13:42, 0.000000, 0.000000, 23.704792
06/30/16_11:13:43, 0.000000, 0.000000, 24.682308
06/30/16_11:13:45, 0.000000, 0.000000, 23.704792
06/30/16_11:13:46, 0.000000, 0.000000, 23.704792
06/30/16_11:13:48, 0.000000, 0.000000, 23.704792
06/30/16_11:13:49, 0.000000, 0.000000, 22.727275
06/30/16_11:13:51, 0.000000, 0.000000, 24.682308
06/30/16_11:13:52, 0.000000, 0.000000, 23.704792
06/30/16_11:13:54, 0.000000, 0.000000, 24.682308
06/30/16_11:13:55, 0.000000, 0.000000, 23.704792
06/30/16_11:13:57, 0.000000, 0.000000, 24.682308
06/30/16_11:13:58, 0.000000, 0.000000, 25.659824
06/30/16_11:14:00, 0.000000, 0.000000, 25.659824
06/30/16_11:14:01, 0.000000, 0.000000, 24.682308
06/30/16_11:14:03, 0.000000, 0.000000, 24.682308
06/30/16_11:14:05, 0.000000, 0.000000, 24.682308
06/30/16_11:14:06, 0.000000, 0.000000, 23.704792
06/30/16_11:14:07, 0.000000, 0.000000, 24.682308
06/30/16_11:14:09, 0.000000, 0.000000, 24.682308
06/30/16_11:14:11, 0.000000, 0.000000, 23.704792
06/30/16_11:14:12, 0.000000, 0.000000, 24.682308
06/30/16_11:14:14, 0.000000, 0.000000, 23.704792
06/30/16_11:14:15, 0.000000, 0.000000, 23.704792
06/30/16_11:14:17, 0.000000, 0.000000, 24.682308
06/30/16_11:14:18, 0.000000, 0.000000, 19.794727
06/30/16_11:14:20, 0.000000, 0.000000, 26.637340
06/30/16_11:14:21, 0.000000, 0.000000, 24.682308
06/30/16_11:14:23, 0.000000, 0.000000, 25.659824
06/30/16_11:14:24, 0.000000, 0.000000, 25.659824
06/30/16_11:14:25, 0.000000, 0.000000, 24.682308
06/30/16_11:14:27, 0.000000, 0.000000, 25.659824
06/30/16_11:14:28, 0.000000, 0.000000, 25.659824
06/30/16_11:14:30, 0.000000, 0.000000, 25.659824
06/30/16_11:14:32, 0.000000, 0.000000, 25.659824
06/30/16_11:14:33, 0.000000, 0.000000, 25.659824
06/30/16_11:14:35, 0.000000, 0.000000, 26.637340
06/30/16_11:14:36, 0.000000, 0.000000, 25.659824
06/30/16_11:14:38, 0.000000, 0.000000, 24.682308
06/30/16_11:14:39, 0.000000, 0.000000, 25.659824
06/30/16_11:14:41, 0.000000, 0.000000, 26.637340
06/30/16_11:14:42, 0.000000, 0.000000, 26.637340
06/30/16_11:14:44, 0.000000, 0.000000, 26.637340
06/30/16_11:14:46, 0.000000, 0.000000, 26.637340
06/30/16_11:14:47, 0.000000, 0.000000, 26.637340
06/30/16_11:14:48, 0.000000, 0.000000, 26.637340
06/30/16_11:14:50, 0.000000, 0.000000, 26.637340
06/30/16_11:14:52, 0.000000, 0.000000, 26.637340
06/30/16_11:14:53, 0.000000, 0.000188, 27.614856
06/30/16_11:14:55, 0.000000, 0.000000, 27.614856
06/30/16_11:14:56, 0.000000, 0.000000, 26.637340
06/30/16_11:14:58, 0.000000, 0.000000, 27.614856
06/30/16_11:14:59, 0.000000, 0.000000, 26.637340
06/30/16_11:15:01, 0.000000, 0.000000, 26.637340
06/30/16_11:15:02, 0.000000, 0.000000, 27.614856
06/30/16_11:15:04, 0.000000, 0.000000, 26.637340
06/30/16_11:15:05, 0.000000, 0.000000, 26.637340
06/30/16_11:15:07, 0.000000, 0.000000, 28.592372
06/30/16_11:15:08, 0.000000, 0.000000, 27.614856
06/30/16_11:15:10, 0.000000, 0.000000, 27.614856
06/30/16_11:15:12, 0.000000, 0.000000, 27.614856
06/30/16_11:15:13, 0.000000, 0.000000, 27.614856
06/30/16_11:15:15, 0.000000, 0.000000, 26.637340
06/30/16_11:15:16, 0.000000, 0.000000, 26.637340
06/30/16_11:15:18, 0.000000, 0.000000, 26.637340
06/30/16_11:15:19, 0.000000, 0.000000, 26.637340
06/30/16_11:15:20, 0.000000, 0.000000, 25.659824
06/30/16_11:15:22, 0.000000, 0.000000, 26.637340
06/30/16_11:15:23, 0.000188, 0.000000, 27.614856
06/30/16_11:15:25, 0.000000, 0.000000, 26.637340
06/30/16_11:15:27, 0.000000, 0.000000, 26.637340
06/30/16_11:15:28, 0.000000, 0.000000, 27.614856
06/30/16_11:15:30, 0.000188, 0.000000, 27.614856
06/30/16_11:15:31, 0.000000, 0.000000, 28.592372
06/30/16_11:15:33, 0.000000, 0.000000, 28.592372
06/30/16_11:15:34, 0.000000, 0.000000, 27.614856
06/30/16_11:15:36, 0.000000, 0.000000, 28.592372
06/30/16_11:15:37, 0.000000, 0.000000, 29.569889
06/30/16_11:15:39, 0.000000, 0.000000, 29.569889
06/30/16_11:15:40, 0.000000, 0.000000, 28.592372
06/30/16_11:15:42, 0.000000, 0.000000, 29.569889
06/30/16_11:15:43, 0.000000, 0.000000, 29.569889
06/30/16_11:15:45, 0.000000, 0.000188, 30.547405
06/30/16_11:15:46, 0.000000, 0.000000, 28.592372
06/30/16_11:15:48, 0.000000, 0.000000, 28.592372
06/30/16_11:15:49, 0.000000, 0.000000, 27.614856
06/30/16_11:15:51, 0.000000, 0.000000, 28.592372
06/30/16_11:15:52, 0.000000, 0.000000, 27.614856
06/30/16_11:15:54, 0.000000, 0.000000, 29.569889
06/30/16_11:15:56, 0.000000, 0.000000, 28.592372
06/30/16_11:15:57, 0.000000, 0.000000, 28.592372
06/30/16_11:15:59, 0.000000, 0.000000, 26.637340
06/30/16_11:16:00, 0.000000, 0.000000, 26.637340
06/30/16_11:16:02, 0.000000, 0.000000, 26.637340
06/30/16_11:16:03, 0.000000, 0.000000, 27.614856
06/30/16_11:16:05, 0.000188, 0.000000, 26.637340
06/30/16_11:16:06, 0.000000, 0.000188, 27.614856
06/30/16_11:16:08, 0.000188, 0.000000, 28.592372
06/30/16_11:16:09, 0.000000, 0.000000, 28.592372
06/30/16_11:16:11, 0.000000, 0.000188, 29.569889
06/30/16_11:16:12, 0.000000, 0.000188, 28.592372
06/30/16_11:16:14, 0.000000, 0.000000, 28.592372
06/30/16_11:16:15, 0.000000, 0.000000, 28.592372
06/30/16_11:16:17, 0.000000, 0.000000, 29.569889
06/30/16_11:16:18, 0.000188, 0.000000, 28.592372
06/30/16_11:16:20, 0.000000, 0.000000, 28.592372
06/30/16_11:16:21, 0.000188, 0.000188, 28.592372
06/30/16_11:16:23, 0.000000, 0.000000, 29.569889
06/30/16_11:16:24, 0.000000, 0.000000, 28.592372
06/30/16_11:16:26, 0.000000, 0.000000, 28.592372
06/30/16_11:16:27, 0.000000, 0.000000, 26.637340
06/30/16_11:16:29, 0.000188, 0.000000, 27.614856
06/30/16_11:16:30, 0.000000, 0.000188, 27.614856
06/30/16_11:16:32, 0.000000, 0.000000, 28.592372
06/30/16_11:16:33, 0.000000, 0.000000, 28.592372
06/30/16_11:16:35, 0.000000, 0.000000, 28.592372
06/30/16_11:16:36, 0.000000, 0.000000, 29.569889
