Time, HF1, HF2, TC1
06/26/16_08:44:56, 0.000000, 0.000000, 26.637340
06/26/16_14:54:09, 0.000000, 0.000000, 25.659824
06/26/16_14:54:11, 0.000000, 0.000000, 25.659824
06/26/16_14:54:12, 0.000000, 0.000000, 24.682308
06/26/16_14:54:14, 0.000000, 0.000000, 32.502437
06/26/16_14:54:16, 0.000000, 0.000000, 32.502437
06/26/16_14:54:17, 0.000000, 0.000000, 30.547405
06/26/16_14:54:19, 0.001500, 0.000000, 28.592372
06/26/16_14:54:20, 0.000937, 0.001125, 26.637340
06/26/16_14:54:22, 0.000562, 0.001312, 26.637340
06/26/16_14:54:23, 0.000188, 0.000375, 25.659824
06/26/16_14:54:25, 0.000000, 0.000000, 24.682308
06/26/16_14:54:27, 0.000000, 0.000188, 24.682308
06/26/16_14:54:28, 0.000000, 0.000000, 24.682308
06/26/16_14:54:30, 0.000000, 0.000000, 24.682308
06/26/16_14:54:32, 0.000000, 0.000000, 24.682308
06/26/16_14:54:33, 0.000000, 0.000000, 23.704792
06/26/16_14:54:35, 0.000000, 0.000000, 24.682308
06/26/16_14:54:36, 0.000000, 0.000000, 23.704792
06/26/16_14:54:38, 0.000000, 0.000000, 23.704792
06/26/16_14:54:40, 0.000000, 0.000000, 23.704792
06/26/16_14:54:41, 0.000000, 0.000000, 23.704792
06/26/16_14:54:43, 0.000000, 0.000000, 23.704792
06/26/16_14:54:44, 0.000000, 0.000000, 23.704792
06/26/16_14:54:46, 0.000000, 0.000000, 23.704792
06/26/16_14:54:47, 0.000000, 0.000000, 24.682308
06/26/16_14:54:49, 0.000000, 0.000000, 23.704792
06/26/16_14:54:51, 0.000000, 0.000000, 23.704792
06/26/16_14:54:52, 0.000000, 0.000000, 23.704792
06/26/16_14:54:54, 0.000000, 0.000000, 24.682308
06/26/16_14:54:55, 0.000000, 0.000000, 24.682308
06/26/16_14:54:57, 0.000000, 0.000000, 23.704792
06/26/16_14:54:58, 0.000000, 0.000000, 24.682308
06/26/16_14:55:00, 0.000000, 0.000000, 23.704792
06/26/16_14:55:01, 0.000000, 0.000000, 23.704792
06/26/16_14:55:03, 0.000000, 0.000000, 24.682308
06/26/16_14:55:04, 0.000000, 0.000000, 24.682308
