Time, HF1, HF2, TC1
06/26/16_11:48:39, 0.000000, 0.000000, 25.659824
06/26/16_11:48:40, 0.000000, 0.000000, 23.704792
06/26/16_11:48:42, 0.000000, 0.000000, 24.682308
06/26/16_11:48:44, 0.000000, 0.000000, 25.659824
06/26/16_11:48:46, 0.000000, 0.000000, 23.704792
06/26/16_11:48:47, 0.000000, 0.000000, 23.704792
06/26/16_11:48:49, 0.000000, 0.000000, 25.659824
06/26/16_11:48:51, 0.000000, 0.000000, 24.682308
06/26/16_11:48:52, 0.000000, 0.000000, 25.659824
06/26/16_11:48:54, 0.000000, 0.000000, 24.682308
06/26/16_11:48:56, 0.000000, 0.000000, 25.659824
06/26/16_11:48:57, 0.000000, 0.000000, 24.682308
06/26/16_11:48:59, 0.000000, 0.000000, 24.682308
06/26/16_11:49:01, 0.000000, 0.000000, 25.659824
06/26/16_11:49:04, 0.000000, 0.000000, 24.682308
06/26/16_11:49:06, 0.000000, 0.000000, 25.659824
06/26/16_11:49:09, 0.000000, 0.000000, 25.659824
06/26/16_11:49:11, 0.000000, 0.000000, 25.659824
06/26/16_11:49:13, 0.000000, 0.000000, 25.659824
06/26/16_11:49:14, 0.000000, 0.000000, 24.682308
06/26/16_11:49:17, 0.000000, 0.000000, 24.682308
06/26/16_11:49:19, 0.000000, 0.000000, 25.659824
06/26/16_11:49:20, 0.000000, 0.000000, 24.682308
06/26/16_11:49:22, 0.000000, 0.000000, 24.682308
06/26/16_11:49:24, 0.000000, 0.000000, 24.682308
06/26/16_11:49:27, 0.000000, 0.000000, 24.682308
06/26/16_11:49:28, 0.000000, 0.000000, 25.659824
06/26/16_11:49:30, 0.000000, 0.000000, 23.704792
06/26/16_11:49:32, 0.000000, 0.000000, 24.682308
06/26/16_11:49:33, 0.000000, 0.000000, 25.659824
06/26/16_11:49:35, 0.000000, 0.000000, 25.659824
06/26/16_11:49:37, 0.000000, 0.000000, 26.637340
06/26/16_11:49:39, 0.000000, 0.000000, 24.682308
06/26/16_11:49:41, 0.000000, 0.000000, 24.682308
06/26/16_11:49:43, 0.000000, 0.000000, 25.659824
06/26/16_11:49:44, 0.000000, 0.000000, 24.682308
06/26/16_11:49:47, 0.000000, 0.000000, 24.682308
06/26/16_11:49:48, 0.000000, 0.000000, 25.659824
06/26/16_11:49:50, 0.000000, 0.000000, 25.659824
06/26/16_11:49:52, 0.000000, 0.000000, 25.659824
06/26/16_11:49:53, 0.000000, 0.000000, 24.682308
06/26/16_11:49:55, 0.000000, 0.000000, 24.682308
06/26/16_11:49:56, 0.000000, 0.000000, 24.682308
06/26/16_11:49:58, 0.000000, 0.000000, 25.659824
06/26/16_11:49:59, 0.000000, 0.000000, 24.682308
06/26/16_11:50:01, 0.000000, -0.000188, 23.704792
06/26/16_11:50:03, 0.000000, -0.000188, 23.704792
06/26/16_11:50:04, 0.000000, -0.000188, 23.704792
06/26/16_11:50:06, 0.000000, -0.000188, 23.704792
06/26/16_11:50:07, 0.000000, -0.000188, 22.727275
06/26/16_11:50:09, 0.000000, 0.000000, 22.727275
06/26/16_11:50:11, 0.000000, 0.000000, 23.704792
06/26/16_11:50:12, 0.000000, 0.000000, 22.727275
06/26/16_11:50:14, 0.000000, 0.000000, 22.727275
06/26/16_11:50:15, 0.000000, 0.000000, 22.727275
06/26/16_11:50:18, 0.000000, 0.000000, 22.727275
06/26/16_11:50:19, 0.000000, 0.000000, 22.727275
06/26/16_11:50:21, 0.000000, 0.000000, 23.704792
06/26/16_11:50:22, 0.000000, 0.000000, 22.727275
06/26/16_11:50:24, 0.000000, 0.000000, 22.727275
06/26/16_11:50:26, -0.000188, 0.000000, 23.704792
06/26/16_11:50:27, 0.000000, 0.000000, 23.704792
06/26/16_11:50:29, -0.000562, 0.000000, 22.727275
06/26/16_11:50:30, -0.000562, 0.000000, 23.704792
06/26/16_11:50:32, -0.000188, 0.000000, 23.704792
06/26/16_11:50:34, -0.000375, 0.000000, 22.727275
06/26/16_11:50:36, -0.000188, 0.000000, 23.704792
06/26/16_11:50:37, -0.000375, 0.000000, 31.524921
06/26/16_11:50:39, -0.000188, 0.000000, 22.727275
06/26/16_11:50:41, 0.000000, -0.000375, 22.727275
06/26/16_11:50:42, 0.000000, 0.000188, 22.727275
06/26/16_11:50:44, 0.000000, 0.000000, 23.704792
06/26/16_11:50:45, 0.000000, 0.000188, 22.727275
06/26/16_11:50:47, 0.000000, -0.000188, 22.727275
06/26/16_11:50:49, 0.000000, -0.000188, 22.727275
06/26/16_11:50:50, 0.000000, -0.000188, 22.727275
06/26/16_11:50:53, 0.000000, 0.000000, 22.727275
06/26/16_11:50:54, 0.000000, 0.000188, 22.727275
06/26/16_11:50:56, 0.000000, 0.000000, 22.727275
06/26/16_11:50:57, 0.000000, 0.000000, 23.704792
06/26/16_11:50:59, 0.000000, 0.000000, 22.727275
06/26/16_11:51:01, 0.000000, 0.000000, 22.727275
06/26/16_11:51:03, 0.000000, 0.000000, 23.704792
06/26/16_11:51:04, 0.000000, 0.000000, 23.704792
06/26/16_11:51:06, 0.000000, 0.000000, 22.727275
06/26/16_11:51:07, 0.000188, 0.000188, 23.704792
06/26/16_11:51:09, 0.000188, 0.000375, 22.727275
06/26/16_11:51:11, 0.000188, 0.000562, 23.704792
06/26/16_11:51:12, 0.000188, 0.000375, 23.704792
06/26/16_11:51:13, 0.000188, 0.000188, 23.704792
06/26/16_11:51:15, 0.000000, 0.000000, 23.704792
06/26/16_11:51:16, 0.000000, 0.000188, 23.704792
06/26/16_11:51:18, 0.000000, 0.000000, 22.727275
06/26/16_11:51:20, 0.000000, 0.000188, 23.704792
06/26/16_11:51:21, 0.000000, 0.000000, 23.704792
06/26/16_11:51:23, 0.000000, 0.000188, 23.704792
06/26/16_11:51:24, 0.000000, 0.000000, 23.704792
06/26/16_11:51:26, 0.000000, 0.000188, 22.727275
06/26/16_11:51:27, 0.000188, 0.000000, 22.727275
06/26/16_11:51:29, 0.000000, 0.000000, 23.704792
06/26/16_11:51:30, 0.000188, 0.000000, 23.704792
06/26/16_11:51:32, 0.000188, 0.000188, 23.704792
06/26/16_11:51:34, 0.000188, 0.000188, 24.682308
06/26/16_11:51:35, 0.000000, 0.000188, 23.704792
06/26/16_11:51:37, 0.000188, 0.000188, 22.727275
06/26/16_11:51:38, 0.000188, 0.000188, 24.682308
06/26/16_11:51:40, 0.000188, 0.000188, 23.704792
06/26/16_11:51:41, 0.000188, 0.000188, 23.704792
06/26/16_11:51:43, 0.000188, 0.000188, 24.682308
06/26/16_11:51:44, 0.000188, 0.000188, 24.682308
06/26/16_11:51:46, 0.000000, 0.000188, 24.682308
06/26/16_11:51:48, 0.000188, 0.000000, 23.704792
06/26/16_11:51:49, 0.000000, 0.000000, 22.727275
06/26/16_11:51:51, 0.000000, 0.000188, 23.704792
06/26/16_11:51:52, 0.000188, 0.000000, 23.704792
06/26/16_11:51:54, 0.000000, 0.000188, 23.704792
06/26/16_11:51:56, 0.000000, 0.000000, 24.682308
06/26/16_11:51:57, 0.000188, 0.000188, 24.682308
06/26/16_11:51:59, 0.000375, 0.000188, 24.682308
06/26/16_11:52:00, 0.000188, 0.000188, 22.727275
06/26/16_11:52:02, 0.000188, 0.000188, 23.704792
06/26/16_11:52:03, 0.000000, 0.000000, 23.704792
06/26/16_11:52:05, 0.000000, 0.000000, 23.704792
06/26/16_11:52:06, 0.000188, 0.000000, 24.682308
06/26/16_11:52:08, 0.000188, 0.000188, 24.682308
06/26/16_11:52:10, 0.000375, 0.000188, 24.682308
06/26/16_11:52:11, 0.000375, 0.000188, 24.682308
06/26/16_11:52:13, 0.000375, 0.000188, 23.704792
06/26/16_11:52:14, 0.000188, 0.000375, 24.682308
06/26/16_11:52:16, 0.000188, 0.000375, 24.682308
06/26/16_11:52:17, 0.000188, 0.000375, 23.704792
06/26/16_11:52:19, 0.000188, 0.000375, 24.682308
06/26/16_11:52:20, 0.000188, 0.000188, 24.682308
06/26/16_11:52:22, 0.000188, 0.000375, 23.704792
06/26/16_11:52:23, 0.000188, 0.000562, 24.682308
06/26/16_11:52:25, 0.000188, 0.000375, 24.682308
06/26/16_11:52:27, 0.000188, 0.000562, 24.682308
06/26/16_11:52:28, 0.000188, 0.000375, 24.682308
06/26/16_11:52:30, 0.000188, 0.000375, 24.682308
06/26/16_11:52:31, 0.000000, 0.000375, 24.682308
06/26/16_11:52:33, 0.000188, 0.000188, 22.727275
06/26/16_11:52:34, 0.000188, 0.000188, 24.682308
06/26/16_11:52:36, 0.000188, 0.000375, 24.682308
06/26/16_11:52:37, 0.000188, 0.000375, 24.682308
06/26/16_11:52:39, 0.000188, 0.000188, 24.682308
06/26/16_11:52:40, 0.000000, 0.000188, 24.682308
06/26/16_11:52:42, 0.000188, 0.000188, 24.682308
06/26/16_11:52:43, 0.000188, 0.000188, 23.704792
06/26/16_11:52:45, 0.000188, 0.000375, 24.682308
06/26/16_11:52:47, 0.000188, 0.000375, 24.682308
06/26/16_11:52:48, 0.000188, 0.000375, 24.682308
06/26/16_11:52:50, 0.000188, 0.000375, 24.682308
06/26/16_11:52:51, 0.000188, 0.000375, 24.682308
06/26/16_11:52:53, 0.000000, 0.000375, 24.682308
06/26/16_11:52:54, 0.000000, 0.000562, 24.682308
06/26/16_11:52:56, 0.000000, 0.000375, 24.682308
06/26/16_11:52:57, 0.000188, 0.000375, 24.682308
06/26/16_11:52:59, 0.000188, 0.000375, 25.659824
06/26/16_11:53:00, 0.000000, 0.000562, 24.682308
06/26/16_11:53:02, 0.000188, 0.000375, 25.659824
06/26/16_11:53:03, 0.000188, 0.000375, 24.682308
