Time, HF1, HF2, TC1
06/27/16_14:03:43, 0.000000, 0.000000, 24.682308
06/27/16_14:03:44, 0.000000, 0.000000, 24.682308
06/27/16_14:03:46, 0.000000, 0.000000, 24.682308
06/27/16_14:03:48, 0.000000, 0.000000, 24.682308
06/27/16_14:03:49, 0.000000, 0.000000, 24.682308
06/27/16_14:03:51, 0.000000, 0.000000, 24.682308
06/27/16_14:03:52, 0.000000, 0.000000, 24.682308
06/27/16_14:03:54, 0.000000, 0.000000, 24.682308
06/27/16_14:03:55, 0.000000, 0.000000, 25.659824
06/27/16_14:03:57, 0.000000, 0.000000, 30.547405
06/27/16_14:03:58, 0.000000, 0.000000, 31.524921
06/27/16_14:04:00, 0.000000, 0.000000, 28.592372
06/27/16_14:04:01, 0.000000, 0.000000, 27.614856
06/27/16_14:04:03, 0.000000, 0.000000, 26.637340
06/27/16_14:04:04, 0.000188, 0.000000, 25.659824
06/27/16_14:04:06, 0.000562, 0.000000, 24.682308
06/27/16_14:04:07, 0.000375, 0.000000, 24.682308
06/27/16_14:04:09, 0.000188, 0.000750, 24.682308
06/27/16_14:04:10, 0.000000, 0.000750, 24.682308
06/27/16_14:04:12, 0.000000, 0.000188, 24.682308
06/27/16_14:04:13, 0.000000, 0.000188, 25.659824
06/27/16_14:04:15, 0.000000, 0.000000, 24.682308
06/27/16_14:04:17, 0.000000, 0.000000, 24.682308
06/27/16_14:04:18, 0.000000, 0.000000, 25.659824
06/27/16_14:04:20, 0.000000, 0.000000, 25.659824
06/27/16_14:04:21, 0.000000, 0.000000, 25.659824
06/27/16_14:04:23, 0.000000, 0.000000, 25.659824
06/27/16_14:04:24, 0.000000, 0.000000, 25.659824
06/27/16_14:04:26, 0.000000, 0.000000, 24.682308
06/27/16_14:04:27, 0.000000, 0.000000, 25.659824
06/27/16_14:04:29, 0.000000, 0.000000, 25.659824
06/27/16_14:04:31, 0.000000, 0.000000, 25.659824
06/27/16_14:04:32, 0.000000, 0.000000, 25.659824
