Time, HF1, HF2, TC1
06/28/16_14:08:06, 0.000000, 0.000000, 24.682308
06/28/16_14:08:07, 0.000000, 0.000000, 24.682308
06/28/16_14:08:09, 0.000000, 0.000000, 24.682308
06/28/16_14:08:11, 0.000000, 0.000000, 25.659824
06/28/16_14:08:12, 0.000000, 0.000000, 24.682308
06/28/16_14:08:14, 0.000000, 0.000000, 25.659824
06/28/16_14:08:15, 0.000000, 0.000000, 23.704792
06/28/16_14:08:17, 0.000000, 0.000000, 29.569889
06/28/16_14:08:18, 0.000000, 0.000000, 30.547405
06/28/16_14:08:20, 0.000000, 0.000000, 31.524921
06/28/16_14:08:21, 0.000750, 0.000000, 28.592372
06/28/16_14:08:23, 0.000937, 0.000000, 27.614856
06/28/16_14:08:24, 0.000937, 0.000000, 26.637340
06/28/16_14:08:26, 0.000375, 0.000750, 25.659824
06/28/16_14:08:27, 0.000375, 0.000937, 26.637340
06/28/16_14:08:29, 0.000000, 0.000750, 25.659824
06/28/16_14:08:30, 0.000000, 0.000188, 25.659824
06/28/16_14:08:32, 0.000000, 0.000188, 24.682308
06/28/16_14:08:33, 0.000000, 0.000000, 25.659824
06/28/16_14:08:35, 0.000000, 0.000000, 24.682308
06/28/16_14:08:36, 0.000000, 0.000000, 25.659824
06/28/16_14:08:38, 0.000000, 0.000000, 25.659824
06/28/16_14:08:40, 0.000000, 0.000000, 25.659824
06/28/16_14:08:41, 0.000000, 0.000000, 25.659824
06/28/16_14:08:42, 0.000000, 0.000000, 25.659824
06/28/16_14:08:44, 0.000000, 0.000000, 25.659824
06/28/16_14:08:45, 0.000000, 0.000000, 25.659824
06/28/16_14:08:47, 0.000000, 0.000000, 25.659824
06/28/16_14:08:49, 0.000000, 0.000000, 25.659824
06/28/16_14:08:50, 0.000000, 0.000000, 25.659824
06/28/16_14:08:52, 0.000000, 0.000000, 25.659824
06/28/16_14:08:53, 0.000000, 0.000000, 24.682308
06/28/16_14:08:55, 0.000000, 0.000000, 26.637340
06/28/16_14:08:56, 0.000000, 0.000000, 25.659824
